model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 3 Series,2020,36650,Automatic,4500,Diesel,145,49.6,2,BMW
 3 Series,2020,36995,Automatic,4500,Diesel,145,50.4,2,BMW
 3 Series,2020,36995,Automatic,3500,Diesel,145,45.6,3,BMW
 3 Series,2020,32995,Automatic,4000,Diesel,145,50.4,2,BMW
 3 Series,2020,33995,Automatic,10,Diesel,145,50.4,2,BMW
 3 Series,2020,42995,Automatic,7500,Petrol,145,33.6,3,BMW
 3 Series,2020,35995,Automatic,2500,Petrol,145,38.7,2,BMW
 3 Series,2020,41995,Automatic,4300,Petrol,145,33.6,3,BMW
 3 Series,2020,41850,Automatic,101,Diesel,145,44.1,3,BMW
 3 Series,2020,28500,Automatic,101,Petrol,145,38.7,2,BMW
 3 Series,2020,31350,Automatic,111,Petrol,145,38.7,2,BMW
 3 Series,2020,30000,Automatic,110,Petrol,145,38.7,2,BMW
 3 Series,2020,41850,Automatic,111,Petrol,145,34.9,3,BMW
 3 Series,2020,37250,Automatic,101,Diesel,145,47.9,3,BMW
 3 Series,2020,32400,Automatic,2121,Diesel,145,52.3,2,BMW
 3 Series,2020,34900,Automatic,100,Diesel,145,50.4,2,BMW
 3 Series,2020,39900,Automatic,13,Diesel,145,44.1,3,BMW
 3 Series,2020,39990,Automatic,1784,Petrol,150,33.2,3,BMW
 3 Series,2020,43900,Automatic,11,Petrol,145,34.9,3,BMW
 3 Series,2020,29490,Automatic,12,Petrol,145,42.2,2,BMW
 3 Series,2020,34900,Automatic,10,Petrol,145,40.4,2,BMW
 3 Series,2020,53988,Automatic,5000,Petrol,145,34.9,3,BMW
 3 Series,2020,37000,Automatic,4691,Hybrid,135,8.8,2,BMW
 3 Series,2020,43880,Automatic,5980,Hybrid,135,8.8,2,BMW
 3 Series,2020,23899,Automatic,1255,Petrol,150,47.9,2,BMW
 3 Series,2020,39990,Automatic,1784,Petrol,145,33.2,3,BMW
 A Class,2020,32980,Automatic,606,Petrol,145,35.8,2,Mercedes
 A Class,2020,26980,Automatic,1000,Diesel,145,62.8,1.5,Mercedes
 A Class,2020,28128,Automatic,2563,Petrol,145,47.9,1.3,Mercedes
 A Class,2020,24107,Automatic,3500,Diesel,145,62.8,1.5,Mercedes
 A Class,2020,22490,Automatic,3521,Diesel,145,56.5,2,Mercedes
 A Class,2020,25995,Automatic,5000,Diesel,145,62.8,1.5,Mercedes
 A Class,2020,24495,Automatic,3999,Diesel,145,67.3,1.5,Mercedes
 A Class,2020,29490,Automatic,3329,Diesel,145,67.3,1.5,Mercedes
 A Class,2020,26498,Automatic,2000,Diesel,145,47.9,1.5,Mercedes
 A Class,2020,33900,Automatic,345,Hybrid,140,1.1,1.3,Mercedes
 A Class,2020,28900,Automatic,1060,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,24900,Automatic,400,Petrol,145,28.5,1.3,Mercedes
 A Class,2020,27900,Automatic,500,Diesel,145,56.5,2,Mercedes
 A Class,2020,43400,Automatic,1750,Petrol,145,36.7,2,Mercedes
 A Class,2020,28298,Automatic,20,Diesel,145,62.8,1.5,Mercedes
 A Class,2020,26998,Automatic,20,Diesel,145,65.7,1.5,Mercedes
 A Class,2020,49298,Automatic,20,Petrol,145,32.8,2,Mercedes
 A Class,2020,43900,Automatic,6000,Petrol,145,35.3,2,Mercedes
 A Class,2020,25644,Automatic,6000,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,26490,Automatic,6000,Petrol,145,28.5,2,Mercedes
 A Class,2020,29480,Automatic,2033,Petrol,145,28.5,1.3,Mercedes
 A Class,2020,26444,Automatic,6000,Petrol,145,28.5,2,Mercedes
 A Class,2020,27890,Automatic,2511,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,26944,Automatic,6000,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,23444,Automatic,708,Diesel,145,56.5,2,Mercedes
 A Class,2020,25644,Automatic,2983,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,26590,Automatic,2563,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,26590,Automatic,2563,Petrol,145,53.3,1.3,Mercedes
 A Class,2020,29900,Automatic,661,Petrol,150,53.3,1.3,Mercedes
 A Class,2020,25799,Automatic,2500,Diesel,145,56.5,2,Mercedes
